# Resultados do Estado Estacionário - Reator Van der Vusse
# Parâmetros:
# Ca_in = 0.05 mol/L
# Q = 250.0 L/min
# V = 1000.0 L
# tau = 4.0 min
# k1 = 0.5 min⁻¹
# k2 = 0.2 min⁻¹
# k3 = 0.2 min⁻¹·L·mol⁻¹
#
# Concentrações em estado estacionário:
CA_ss = 0.016521 # mol/L
CB_ss = 0.018357 # mol/L
CC_ss = 0.014685 # mol/L
CD_ss = 0.000218 # mol/L
XA_ss = 0.669578 # conversão
#
# Análise de sensibilidade:
tau_min CA CB CC CD XA
0.5000 0.039747 0.009033 0.000903 0.000158 0.205055
0.5960 0.038253 0.010185 0.001214 0.000174 0.234947
0.6919 0.036869 0.011205 0.001551 0.000188 0.262626
0.7879 0.035583 0.012110 0.001908 0.000200 0.288334
0.8838 0.034386 0.012913 0.002283 0.000209 0.312278
0.9798 0.033268 0.013628 0.002670 0.000217 0.334636
1.0758 0.032222 0.014263 0.003069 0.000223 0.355564
1.1717 0.031240 0.014828 0.003475 0.000229 0.375195
1.2677 0.030318 0.015330 0.003887 0.000233 0.393650
1.3636 0.029448 0.015776 0.004303 0.000237 0.411031
1.4596 0.028628 0.016172 0.004721 0.000239 0.427430
1.5556 0.027853 0.016523 0.005141 0.000241 0.442931
1.6515 0.027120 0.016834 0.005560 0.000243 0.457604
1.7475 0.026424 0.017108 0.005979 0.000244 0.471517
1.8434 0.025764 0.017350 0.006397 0.000245 0.484726
1.9394 0.025136 0.017562 0.006812 0.000245 0.497284
2.0354 0.024538 0.017747 0.007224 0.000245 0.509240
2.1313 0.023968 0.017908 0.007634 0.000245 0.520634
2.2273 0.023425 0.018047 0.008039 0.000244 0.531507
2.3232 0.022905 0.018166 0.008441 0.000244 0.541894
2.4192 0.022409 0.018267 0.008838 0.000243 0.551827
2.5152 0.021933 0.018351 0.009231 0.000242 0.561335
2.6111 0.021478 0.018421 0.009620 0.000241 0.570445
2.7071 0.021041 0.018476 0.010003 0.000240 0.579181
2.8030 0.020622 0.018519 0.010382 0.000238 0.587567
2.8990 0.020219 0.018551 0.010756 0.000237 0.595623
2.9949 0.019832 0.018573 0.011125 0.000236 0.603369
3.0909 0.019459 0.018584 0.011489 0.000234 0.610821
3.1869 0.019100 0.018588 0.011847 0.000233 0.617997
3.2828 0.018754 0.018583 0.012201 0.000231 0.624912
3.3788 0.018421 0.018571 0.012549 0.000229 0.631580
3.4747 0.018099 0.018552 0.012893 0.000228 0.638013
3.5707 0.017789 0.018528 0.013231 0.000226 0.644224
3.6667 0.017489 0.018498 0.013565 0.000224 0.650225
3.7626 0.017199 0.018463 0.013894 0.000223 0.656026
3.8586 0.016918 0.018423 0.014217 0.000221 0.661637
3.9545 0.016647 0.018379 0.014536 0.000219 0.667067
4.0505 0.016384 0.018331 0.014850 0.000217 0.672324
4.1465 0.016129 0.018280 0.015159 0.000216 0.677418
4.2424 0.015882 0.018226 0.015464 0.000214 0.682355
4.3384 0.015643 0.018168 0.015764 0.000212 0.687142
4.4343 0.015411 0.018108 0.016060 0.000211 0.691787
4.5303 0.015185 0.018046 0.016351 0.000209 0.696295
4.6263 0.014966 0.017982 0.016638 0.000207 0.700673
4.7222 0.014754 0.017915 0.016920 0.000206 0.704926
4.8182 0.014547 0.017847 0.017198 0.000204 0.709059
4.9141 0.014346 0.017777 0.017472 0.000202 0.713078
5.0101 0.014151 0.017706 0.017742 0.000201 0.716987
5.1061 0.013960 0.017634 0.018008 0.000199 0.720791
5.2020 0.013775 0.017560 0.018270 0.000197 0.724493
5.2980 0.013595 0.017486 0.018528 0.000196 0.728098
5.3939 0.013419 0.017410 0.018782 0.000194 0.731610
5.4899 0.013248 0.017334 0.019032 0.000193 0.735032
5.5859 0.013082 0.017257 0.019279 0.000191 0.738368
5.6818 0.012919 0.017180 0.019522 0.000190 0.741620
