tempo_min CA CB CC CD XA
0.000000 0.050000 0.000000 0.000000 0.000000 0.000000
0.066890 0.048306 0.001619 0.000011 0.000032 0.033880
0.133779 0.046699 0.003136 0.000042 0.000061 0.066019
0.200669 0.045175 0.004556 0.000093 0.000088 0.096510
0.267559 0.043728 0.005885 0.000161 0.000113 0.125438
0.334448 0.042356 0.007128 0.000244 0.000136 0.152886
0.401338 0.041053 0.008291 0.000343 0.000157 0.178933
0.468227 0.039817 0.009377 0.000454 0.000176 0.203650
0.535117 0.038645 0.010391 0.000578 0.000193 0.227109
0.602007 0.037531 0.011337 0.000713 0.000209 0.249373
0.668896 0.036475 0.012220 0.000857 0.000224 0.270505
0.735786 0.035472 0.013043 0.001011 0.000237 0.290564
0.802676 0.034520 0.013809 0.001172 0.000250 0.309606
0.869565 0.033616 0.014521 0.001341 0.000261 0.327682
0.936455 0.032758 0.015184 0.001516 0.000271 0.344843
1.003344 0.031943 0.015800 0.001696 0.000281 0.361136
1.070234 0.031170 0.016371 0.001881 0.000289 0.376605
1.137124 0.030435 0.016900 0.002071 0.000297 0.391293
1.204013 0.029738 0.017390 0.002264 0.000304 0.405239
1.270903 0.029076 0.017843 0.002460 0.000310 0.418482
1.337793 0.028447 0.018261 0.002659 0.000316 0.431057
1.404682 0.027850 0.018647 0.002860 0.000322 0.442998
1.471572 0.027283 0.019002 0.003062 0.000326 0.454339
1.538462 0.026745 0.019329 0.003266 0.000331 0.465109
1.605351 0.026233 0.019628 0.003470 0.000334 0.475337
1.672241 0.025747 0.019902 0.003675 0.000338 0.485051
1.739130 0.025286 0.020153 0.003879 0.000341 0.494277
1.806020 0.024848 0.020381 0.004084 0.000344 0.503040
1.872910 0.024432 0.020588 0.004288 0.000346 0.511363
1.939799 0.024037 0.020776 0.004491 0.000348 0.519268
2.006689 0.023661 0.020946 0.004694 0.000350 0.526777
2.073579 0.023305 0.021098 0.004895 0.000351 0.533910
2.140468 0.022966 0.021235 0.005094 0.000353 0.540685
2.207358 0.022644 0.021356 0.005292 0.000354 0.547120
2.274247 0.022338 0.021464 0.005489 0.000354 0.553234
2.341137 0.022048 0.021559 0.005683 0.000355 0.559041
2.408027 0.021772 0.021641 0.005875 0.000356 0.564558
2.474916 0.021510 0.021713 0.006066 0.000356 0.569798
2.541806 0.021261 0.021773 0.006253 0.000356 0.574777
2.608696 0.021025 0.021824 0.006439 0.000356 0.579506
2.675585 0.020800 0.021866 0.006622 0.000356 0.583999
2.742475 0.020587 0.021899 0.006803 0.000356 0.588267
2.809365 0.020384 0.021925 0.006980 0.000355 0.592322
2.876254 0.020191 0.021943 0.007156 0.000355 0.596175
2.943144 0.020008 0.021955 0.007328 0.000354 0.599835
3.010033 0.019834 0.021960 0.007498 0.000354 0.603312
3.076923 0.019669 0.021960 0.007665 0.000353 0.606615
3.143813 0.019512 0.021954 0.007829 0.000352 0.609754
3.210702 0.019363 0.021943 0.007991 0.000352 0.612736
3.277592 0.019222 0.021928 0.008149 0.000351 0.615569
3.344482 0.019087 0.021909 0.008305 0.000350 0.618261
3.411371 0.018959 0.021886 0.008457 0.000349 0.620818
3.478261 0.018838 0.021860 0.008607 0.000348 0.623248
3.545151 0.018722 0.021830 0.008754 0.000347 0.625556
3.612040 0.018613 0.021798 0.008899 0.000345 0.627750
3.678930 0.018508 0.021763 0.009040 0.000344 0.629834
3.745819 0.018409 0.021726 0.009179 0.000343 0.631814
3.812709 0.018315 0.021687 0.009314 0.000342 0.633695
3.879599 0.018226 0.021645 0.009447 0.000341 0.635482
3.946488 0.018141 0.021603 0.009578 0.000339 0.637181
4.013378 0.018060 0.021558 0.009705 0.000338 0.638794
4.080268 0.017984 0.021513 0.009830 0.000337 0.640328
4.147157 0.017911 0.021466 0.009952 0.000335 0.641785
4.214047 0.017842 0.021419 0.010071 0.000334 0.643169
4.280936 0.017776 0.021370 0.010188 0.000333 0.644484
4.347826 0.017713 0.021321 0.010302 0.000331 0.645734
4.414716 0.017654 0.021272 0.010414 0.000330 0.646921
4.481605 0.017598 0.021222 0.010523 0.000329 0.648050
4.548495 0.017544 0.021171 0.010630 0.000327 0.649122
4.615385 0.017493 0.021121 0.010734 0.000326 0.650140
4.682274 0.017445 0.021070 0.010836 0.000325 0.651108
4.749164 0.017399 0.021019 0.010936 0.000323 0.652028
4.816054 0.017355 0.020968 0.011033 0.000322 0.652902
4.882943 0.017313 0.020918 0.011128 0.000321 0.653732
4.949833 0.017274 0.020867 0.011220 0.000319 0.654521
5.016722 0.017236 0.020817 0.011311 0.000318 0.655271
5.083612 0.017201 0.020767 0.011399 0.000317 0.655983
5.150502 0.017167 0.020717 0.011485 0.000315 0.656660
5.217391 0.017135 0.020668 0.011569 0.000314 0.657303
5.284281 0.017104 0.020619 0.011651 0.000313 0.657914
5.351171 0.017075 0.020571 0.011731 0.000311 0.658495
5.418060 0.017048 0.020523 0.011809 0.000310 0.659047
5.484950 0.017021 0.020476 0.011885 0.000309 0.659571
5.551839 0.016997 0.020429 0.011960 0.000307 0.660069
5.618729 0.016973 0.020383 0.012032 0.000306 0.660542
5.685619 0.016950 0.020337 0.012103 0.000305 0.660992
5.752508 0.016929 0.020292 0.012171 0.000304 0.661420
5.819398 0.016909 0.020248 0.012238 0.000302 0.661826
5.886288 0.016889 0.020204 0.012304 0.000301 0.662212
5.953177 0.016871 0.020161 0.012368 0.000300 0.662578
6.020067 0.016854 0.020119 0.012430 0.000299 0.662927
6.086957 0.016837 0.020078 0.012490 0.000298 0.663258
6.153846 0.016821 0.020037 0.012549 0.000296 0.663572
6.220736 0.016806 0.019997 0.012607 0.000295 0.663871
6.287625 0.016792 0.019957 0.012663 0.000294 0.664156
6.354515 0.016779 0.019918 0.012717 0.000293 0.664425
6.421405 0.016766 0.019880 0.012770 0.000292 0.664682
6.488294 0.016754 0.019843 0.012822 0.000291 0.664926
6.555184 0.016742 0.019806 0.012872 0.000290 0.665157
6.622074 0.016731 0.019770 0.012921 0.000289 0.665377
6.688963 0.016721 0.019735 0.012969 0.000287 0.665586
6.755853 0.016711 0.019701 0.013016 0.000286 0.665785
6.822742 0.016701 0.019667 0.013061 0.000285 0.665974
6.889632 0.016692 0.019634 0.013105 0.000284 0.666153
6.956522 0.016684 0.019602 0.013148 0.000283 0.666324
7.023411 0.016676 0.019570 0.013190 0.000282 0.666486
7.090301 0.016668 0.019539 0.013230 0.000281 0.666640
7.157191 0.016661 0.019509 0.013270 0.000280 0.666786
7.224080 0.016654 0.019479 0.013309 0.000279 0.666925
7.290970 0.016647 0.019450 0.013346 0.000278 0.667057
7.357860 0.016641 0.019422 0.013383 0.000277 0.667182
7.424749 0.016635 0.019394 0.013418 0.000277 0.667302
7.491639 0.016629 0.019367 0.013453 0.000276 0.667415
7.558528 0.016624 0.019340 0.013486 0.000275 0.667523
7.625418 0.016619 0.019314 0.013519 0.000274 0.667625
7.692308 0.016614 0.019289 0.013551 0.000273 0.667722
7.759197 0.016609 0.019264 0.013582 0.000272 0.667815
7.826087 0.016605 0.019240 0.013612 0.000271 0.667902
7.892977 0.016601 0.019217 0.013642 0.000270 0.667986
7.959866 0.016597 0.019194 0.013670 0.000270 0.668065
8.026756 0.016593 0.019172 0.013698 0.000269 0.668140
8.093645 0.016589 0.019150 0.013725 0.000268 0.668212
8.160535 0.016586 0.019128 0.013751 0.000267 0.668280
8.227425 0.016583 0.019108 0.013777 0.000266 0.668344
8.294314 0.016580 0.019087 0.013802 0.000266 0.668406
8.361204 0.016577 0.019068 0.013826 0.000265 0.668464
8.428094 0.016574 0.019048 0.013850 0.000264 0.668520
8.494983 0.016571 0.019029 0.013872 0.000263 0.668572
8.561873 0.016569 0.019011 0.013895 0.000263 0.668622
8.628763 0.016567 0.018993 0.013916 0.000262 0.668670
8.695652 0.016564 0.018976 0.013938 0.000261 0.668715
8.762542 0.016562 0.018959 0.013958 0.000261 0.668758
8.829431 0.016560 0.018942 0.013978 0.000260 0.668799
8.896321 0.016558 0.018926 0.013997 0.000259 0.668838
8.963211 0.016556 0.018911 0.014016 0.000258 0.668875
9.030100 0.016555 0.018895 0.014035 0.000258 0.668910
9.096990 0.016553 0.018880 0.014052 0.000257 0.668943
9.163880 0.016551 0.018866 0.014070 0.000257 0.668974
9.230769 0.016550 0.018852 0.014087 0.000256 0.669004
9.297659 0.016548 0.018838 0.014103 0.000255 0.669033
9.364548 0.016547 0.018825 0.014119 0.000255 0.669060
9.431438 0.016546 0.018812 0.014134 0.000254 0.669086
9.498328 0.016544 0.018799 0.014150 0.000254 0.669110
9.565217 0.016543 0.018786 0.014164 0.000253 0.669134
9.632107 0.016542 0.018774 0.014179 0.000252 0.669156
9.698997 0.016541 0.018763 0.014192 0.000252 0.669177
9.765886 0.016540 0.018751 0.014206 0.000251 0.669197
9.832776 0.016539 0.018740 0.014219 0.000251 0.669216
9.899666 0.016538 0.018729 0.014232 0.000250 0.669234
9.966555 0.016537 0.018719 0.014244 0.000250 0.669251
10.033445 0.016537 0.018709 0.014256 0.000249 0.669267
10.100334 0.016536 0.018699 0.014268 0.000249 0.669283
10.167224 0.016535 0.018689 0.014279 0.000248 0.669297
10.234114 0.016534 0.018680 0.014290 0.000248 0.669311
10.301003 0.016534 0.018671 0.014301 0.000247 0.669325
10.367893 0.016533 0.018662 0.014312 0.000247 0.669337
10.434783 0.016533 0.018653 0.014322 0.000246 0.669349
