tempo_h h1_m h2_m
0.000000 3.000000 2.000000
0.202020 2.933876 2.192353
0.404040 2.871957 2.356585
0.606061 2.814015 2.496751
0.808081 2.759832 2.616160
1.010101 2.709198 2.717566
1.212121 2.661910 2.803301
1.414141 2.617773 2.875364
1.616162 2.576602 2.935481
1.818182 2.538218 2.985157
2.020202 2.502451 3.025711
2.222222 2.469140 3.058302
2.424242 2.438132 3.083952
2.626263 2.409279 3.103565
2.828283 2.382444 3.117942
3.030303 2.357496 3.127794
3.232323 2.334310 3.133751
3.434343 2.312771 3.136369
3.636364 2.292768 3.136144
3.838384 2.274198 3.133514
4.040404 2.256963 3.128865
4.242424 2.240972 3.122540
4.444444 2.226139 3.114839
4.646465 2.212384 3.106027
4.848485 2.199630 3.096335
5.050505 2.187809 3.085965
5.252525 2.176853 3.075094
5.454545 2.166702 3.063874
5.656566 2.157299 3.052437
5.858586 2.148588 3.040895
6.060606 2.140522 3.029345
6.262626 2.133052 3.017868
6.464646 2.126137 3.006533
6.666667 2.119735 2.995396
6.868687 2.113809 2.984505
7.070707 2.108325 2.973896
7.272727 2.103250 2.963599
7.474747 2.098553 2.953639
7.676768 2.094208 2.944030
7.878788 2.090188 2.934786
8.080808 2.086468 2.925913
8.282828 2.083028 2.917415
8.484848 2.079845 2.909293
8.686869 2.076902 2.901544
8.888889 2.074179 2.894163
9.090909 2.071662 2.887144
9.292929 2.069333 2.880479
9.494949 2.067180 2.874159
9.696970 2.065189 2.868172
9.898990 2.063348 2.862509
10.101010 2.061645 2.857157
10.303030 2.060071 2.852105
10.505051 2.058616 2.847340
10.707071 2.057270 2.842849
10.909091 2.056026 2.838622
11.111111 2.054876 2.834645
11.313131 2.053813 2.830906
11.515152 2.052829 2.827395
11.717172 2.051921 2.824098
11.919192 2.051081 2.821005
12.121212 2.050304 2.818105
12.323232 2.049586 2.815387
12.525253 2.048922 2.812842
12.727273 2.048309 2.810459
12.929293 2.047742 2.808230
13.131313 2.047218 2.806145
13.333333 2.046733 2.804196
13.535354 2.046285 2.802375
13.737374 2.045871 2.800674
13.939394 2.045488 2.799086
14.141414 2.045135 2.797603
14.343434 2.044808 2.796220
14.545455 2.044506 2.794930
14.747475 2.044226 2.793727
14.949495 2.043968 2.792606
15.151515 2.043729 2.791561
15.353535 2.043509 2.790587
15.555556 2.043305 2.789680
15.757576 2.043116 2.788836
15.959596 2.042942 2.788050
16.161616 2.042781 2.787318
16.363636 2.042632 2.786637
16.565657 2.042495 2.786004
16.767677 2.042368 2.785415
16.969697 2.042250 2.784867
17.171717 2.042142 2.784358
17.373737 2.042041 2.783884
17.575758 2.041948 2.783444
17.777778 2.041863 2.783035
17.979798 2.041783 2.782655
18.181818 2.041710 2.782302
18.383838 2.041643 2.781974
18.585859 2.041580 2.781670
18.787879 2.041522 2.781387
18.989899 2.041469 2.781124
19.191919 2.041419 2.780881
19.393939 2.041374 2.780654
19.595960 2.041331 2.780445
19.797980 2.041292 2.780250
20.000000 2.041256 2.780069
