tempo_min h_m xA xB xC
0.000000 0.354762 0.250000 0.250000 0.500000
0.301508 0.359954 0.255421 0.253976 0.490603
0.603015 0.365017 0.260410 0.257634 0.481956
0.904523 0.369955 0.265008 0.261006 0.473986
1.206030 0.374773 0.269254 0.264120 0.466626
1.507538 0.379473 0.273181 0.267000 0.459819
1.809045 0.384059 0.276818 0.269667 0.453515
2.110553 0.388536 0.280192 0.272141 0.447667
2.412060 0.392905 0.283325 0.274438 0.442237
2.713568 0.397171 0.286238 0.276575 0.437187
3.015075 0.401335 0.288951 0.278564 0.432486
3.316583 0.405402 0.291479 0.280418 0.428104
3.618090 0.409374 0.293837 0.282147 0.424015
3.919598 0.413253 0.296040 0.283763 0.420197
4.221106 0.417042 0.298100 0.285273 0.416627
4.522613 0.420744 0.300027 0.286687 0.413286
4.824121 0.424361 0.301833 0.288011 0.410157
5.125628 0.427894 0.303525 0.289252 0.407224
5.427136 0.431348 0.305112 0.290416 0.404472
5.728643 0.434723 0.306603 0.291509 0.401889
6.030151 0.438022 0.308003 0.292536 0.399461
6.331658 0.441246 0.309320 0.293501 0.397179
6.633166 0.444399 0.310559 0.294410 0.395032
6.934673 0.447480 0.311725 0.295265 0.393010
7.236181 0.450493 0.312824 0.296071 0.391106
7.537688 0.453439 0.313859 0.296830 0.389310
7.839196 0.456320 0.314836 0.297547 0.387617
8.140704 0.459137 0.315758 0.298223 0.386019
8.442211 0.461893 0.316628 0.298861 0.384511
8.743719 0.464588 0.317451 0.299464 0.383085
9.045226 0.467224 0.318228 0.300034 0.381738
9.346734 0.469802 0.318963 0.300573 0.380465
9.648241 0.472324 0.319658 0.301083 0.379260
9.949749 0.474792 0.320316 0.301565 0.378119
10.251256 0.477206 0.320939 0.302022 0.377039
10.552764 0.479568 0.321529 0.302455 0.376016
10.854271 0.481879 0.322088 0.302865 0.375047
11.155779 0.484141 0.322619 0.303254 0.374128
11.457286 0.486354 0.323121 0.303622 0.373256
11.758794 0.488520 0.323598 0.303972 0.372429
12.060302 0.490639 0.324051 0.304304 0.371645
12.361809 0.492714 0.324481 0.304619 0.370900
12.663317 0.494744 0.324889 0.304919 0.370192
12.964824 0.496731 0.325277 0.305203 0.369520
13.266332 0.498676 0.325645 0.305473 0.368882
13.567839 0.500581 0.325995 0.305730 0.368275
13.869347 0.502445 0.326328 0.305974 0.367698
14.170854 0.504269 0.326645 0.306206 0.367149
14.472362 0.506056 0.326946 0.306427 0.366626
14.773869 0.507805 0.327233 0.306638 0.366130
15.075377 0.509517 0.327506 0.306838 0.365657
15.376884 0.511194 0.327766 0.307028 0.365206
15.678392 0.512835 0.328013 0.307210 0.364777
15.979899 0.514443 0.328249 0.307382 0.364369
16.281407 0.516017 0.328473 0.307547 0.363980
16.582915 0.517558 0.328687 0.307704 0.363609
16.884422 0.519067 0.328891 0.307853 0.363256
17.185930 0.520545 0.329085 0.307996 0.362919
17.487437 0.521993 0.329271 0.308132 0.362597
17.788945 0.523410 0.329448 0.308262 0.362291
18.090452 0.524799 0.329616 0.308385 0.361999
18.391960 0.526158 0.329777 0.308503 0.361720
18.693467 0.527490 0.329931 0.308616 0.361453
18.994975 0.528795 0.330077 0.308723 0.361199
19.296482 0.530072 0.330217 0.308826 0.360957
19.597990 0.531324 0.330351 0.308924 0.360726
19.899497 0.532550 0.330478 0.309017 0.360504
20.201005 0.533751 0.330600 0.309107 0.360293
20.502513 0.534927 0.330716 0.309192 0.360092
20.804020 0.536079 0.330828 0.309274 0.359899
21.105528 0.537208 0.330934 0.309351 0.359715
21.407035 0.538314 0.331035 0.309426 0.359539
21.708543 0.539397 0.331132 0.309497 0.359371
22.010050 0.540459 0.331225 0.309565 0.359210
22.311558 0.541498 0.331314 0.309630 0.359056
22.613065 0.542517 0.331398 0.309692 0.358910
22.914573 0.543515 0.331479 0.309752 0.358769
23.216080 0.544493 0.331557 0.309808 0.358635
23.517588 0.545451 0.331631 0.309863 0.358506
23.819095 0.546390 0.331702 0.309915 0.358383
24.120603 0.547310 0.331770 0.309965 0.358266
24.422111 0.548211 0.331835 0.310012 0.358153
24.723618 0.549094 0.331897 0.310058 0.358045
25.025126 0.549959 0.331956 0.310101 0.357942
25.326633 0.550807 0.332013 0.310143 0.357844
25.628141 0.551638 0.332068 0.310183 0.357749
25.929648 0.552452 0.332120 0.310221 0.357659
26.231156 0.553250 0.332170 0.310258 0.357572
26.532663 0.554032 0.332218 0.310293 0.357489
26.834171 0.554798 0.332263 0.310326 0.357410
27.135678 0.555548 0.332307 0.310359 0.357334
27.437186 0.556284 0.332349 0.310389 0.357261
27.738693 0.557005 0.332389 0.310419 0.357192
28.040201 0.557712 0.332428 0.310447 0.357125
28.341709 0.558404 0.332465 0.310474 0.357061
28.643216 0.559083 0.332500 0.310500 0.357000
28.944724 0.559748 0.332534 0.310525 0.356941
29.246231 0.560400 0.332567 0.310549 0.356885
29.547739 0.561038 0.332598 0.310572 0.356831
29.849246 0.561665 0.332627 0.310593 0.356779
30.150754 0.562278 0.332656 0.310614 0.356729
30.452261 0.562880 0.332683 0.310635 0.356682
30.753769 0.563469 0.332710 0.310654 0.356637
31.055276 0.564047 0.332735 0.310672 0.356593
31.356784 0.564613 0.332759 0.310690 0.356551
31.658291 0.565168 0.332782 0.310707 0.356511
