tempo_min T_K CA CB CC CD XA
0.000000 400.000000 0.500000 0.800000 0.000000 0.000000 0.000000
0.050167 400.000000 0.499958 0.799958 0.000042 0.000042 0.000084
0.100334 400.000000 0.499916 0.799916 0.000084 0.000084 0.000167
0.150502 400.000000 0.499875 0.799875 0.000125 0.000125 0.000251
0.200669 400.000000 0.499833 0.799833 0.000167 0.000167 0.000334
0.250836 400.000000 0.499791 0.799791 0.000209 0.000209 0.000418
0.301003 400.000000 0.499749 0.799749 0.000251 0.000251 0.000501
0.351171 400.000000 0.499708 0.799708 0.000292 0.000292 0.000585
0.401338 400.000000 0.499666 0.799666 0.000334 0.000334 0.000668
0.451505 400.000000 0.499624 0.799624 0.000376 0.000376 0.000752
0.501672 400.000000 0.499582 0.799582 0.000418 0.000418 0.000835
0.551839 400.000000 0.499541 0.799541 0.000459 0.000459 0.000919
0.602007 400.000000 0.499499 0.799499 0.000501 0.000501 0.001002
0.652174 400.000000 0.499457 0.799457 0.000543 0.000543 0.001086
0.702341 400.000000 0.499415 0.799415 0.000585 0.000585 0.001169
0.752508 400.000000 0.499374 0.799374 0.000626 0.000626 0.001253
0.802676 400.000000 0.499332 0.799332 0.000668 0.000668 0.001336
0.852843 400.000000 0.499290 0.799290 0.000710 0.000710 0.001420
0.903010 400.000000 0.499248 0.799248 0.000752 0.000752 0.001503
0.953177 400.000000 0.499207 0.799207 0.000793 0.000793 0.001586
1.003344 400.000000 0.499165 0.799165 0.000835 0.000835 0.001670
1.053512 400.000000 0.499123 0.799123 0.000877 0.000877 0.001753
1.103679 400.000000 0.499082 0.799082 0.000918 0.000918 0.001837
1.153846 400.000000 0.499040 0.799040 0.000960 0.000960 0.001920
1.204013 400.000000 0.498998 0.798998 0.001002 0.001002 0.002003
1.254181 400.000000 0.498957 0.798957 0.001043 0.001043 0.002087
1.304348 400.000000 0.498915 0.798915 0.001085 0.001085 0.002170
1.354515 400.000000 0.498873 0.798873 0.001127 0.001127 0.002253
1.404682 400.000000 0.498832 0.798832 0.001168 0.001168 0.002337
1.454849 400.000000 0.498790 0.798790 0.001210 0.001210 0.002420
1.505017 400.000000 0.498748 0.798748 0.001252 0.001252 0.002503
1.555184 400.000000 0.498707 0.798707 0.001293 0.001293 0.002586
1.605351 400.000000 0.498665 0.798665 0.001335 0.001335 0.002670
1.655518 400.000000 0.498624 0.798624 0.001376 0.001376 0.002753
1.705686 400.000000 0.498582 0.798582 0.001418 0.001418 0.002836
1.755853 400.000000 0.498540 0.798540 0.001460 0.001460 0.002919
1.806020 400.000000 0.498499 0.798499 0.001501 0.001501 0.003002
1.856187 400.000000 0.498457 0.798457 0.001543 0.001543 0.003086
1.906355 400.000000 0.498416 0.798416 0.001584 0.001584 0.003169
1.956522 400.000000 0.498374 0.798374 0.001626 0.001626 0.003252
2.006689 400.000000 0.498332 0.798332 0.001668 0.001668 0.003335
2.056856 400.000000 0.498291 0.798291 0.001709 0.001709 0.003418
2.107023 400.000000 0.498249 0.798249 0.001751 0.001751 0.003501
2.157191 400.000000 0.498208 0.798208 0.001792 0.001792 0.003585
2.207358 400.000000 0.498166 0.798166 0.001834 0.001834 0.003668
2.257525 400.000000 0.498125 0.798125 0.001875 0.001875 0.003751
2.307692 400.000000 0.498083 0.798083 0.001917 0.001917 0.003834
2.357860 400.000000 0.498042 0.798042 0.001958 0.001958 0.003917
2.408027 400.000000 0.498000 0.798000 0.002000 0.002000 0.004000
2.458194 400.000000 0.497958 0.797958 0.002042 0.002042 0.004083
2.508361 400.000000 0.497917 0.797917 0.002083 0.002083 0.004166
2.558528 400.000000 0.497875 0.797875 0.002125 0.002125 0.004249
2.608696 400.000000 0.497834 0.797834 0.002166 0.002166 0.004332
2.658863 400.000000 0.497792 0.797792 0.002208 0.002208 0.004415
2.709030 400.000000 0.497751 0.797751 0.002249 0.002249 0.004498
2.759197 400.000000 0.497709 0.797709 0.002291 0.002291 0.004581
2.809365 400.000000 0.497668 0.797668 0.002332 0.002332 0.004664
2.859532 400.000000 0.497626 0.797626 0.002374 0.002374 0.004747
2.909699 400.000000 0.497585 0.797585 0.002415 0.002415 0.004830
2.959866 400.000000 0.497543 0.797543 0.002457 0.002457 0.004913
3.010033 400.000000 0.497502 0.797502 0.002498 0.002498 0.004996
3.060201 400.000000 0.497461 0.797461 0.002539 0.002539 0.005079
3.110368 400.000000 0.497419 0.797419 0.002581 0.002581 0.005162
3.160535 400.000000 0.497378 0.797378 0.002622 0.002622 0.005245
3.210702 400.000000 0.497336 0.797336 0.002664 0.002664 0.005328
