tempo C_alim C_z025 C_z050 C_z075 C_z100
0.000000 0.166667 0.000000 0.000000 0.000000 0.000000
0.016722 0.166667 0.000008 0.000000 0.000000 0.000000
0.033445 0.166667 0.000936 0.000000 0.000000 -0.000000
0.050167 0.166667 0.005575 0.000000 0.000000 -0.000000
0.066890 0.166667 0.013980 0.000007 -0.000000 0.000000
0.083612 0.166667 0.024414 0.000060 0.000000 -0.000000
0.100334 0.166667 0.035363 0.000263 0.000000 -0.000000
0.117057 0.166667 0.045966 0.000773 0.000001 0.000000
0.133779 0.166667 0.055818 0.001733 0.000003 0.000000
0.150502 0.166667 0.064755 0.003241 0.000014 0.000000
0.167224 0.166667 0.072750 0.005334 0.000045 0.000000
0.183946 0.166667 0.079842 0.008001 0.000110 0.000000
0.200669 0.166668 0.086115 0.011158 0.000242 0.000001
0.217391 0.166670 0.091644 0.014735 0.000466 0.000004
0.234114 0.166676 0.096511 0.018639 0.000809 0.000012
0.250836 0.166690 0.100795 0.022772 0.001303 0.000028
0.267559 0.166713 0.104574 0.027036 0.001980 0.000056
0.284281 0.166756 0.107901 0.031370 0.002844 0.000108
0.301003 0.166828 0.110838 0.035705 0.003909 0.000193
0.317726 0.166933 0.113434 0.039982 0.005184 0.000320
0.334448 0.167087 0.115733 0.044161 0.006659 0.000504
0.351171 0.167303 0.117770 0.048216 0.008318 0.000764
0.367893 0.167593 0.119582 0.052119 0.010149 0.001111
0.384615 0.167950 0.121206 0.055841 0.012152 0.001540
0.401338 0.168400 0.122663 0.059385 0.014286 0.002080
0.418060 0.168950 0.123975 0.062747 0.016528 0.002740
0.434783 0.169597 0.125172 0.065918 0.018864 0.003516
0.451505 0.170327 0.126287 0.068889 0.021290 0.004392
0.468227 0.171177 0.127309 0.071690 0.023745 0.005412
0.484950 0.172133 0.128266 0.074318 0.026223 0.006559
0.501672 0.173168 0.129193 0.076766 0.028728 0.007802
0.518395 0.174282 0.130102 0.079043 0.031237 0.009139
0.535117 0.175489 0.130984 0.081177 0.033717 0.010587
0.551839 0.176815 0.131811 0.083211 0.036121 0.012178
0.568562 0.178152 0.132700 0.085063 0.038535 0.013782
0.585284 0.179543 0.133602 0.086790 0.040900 0.015451
0.602007 0.181010 0.134488 0.088438 0.043176 0.017212
0.618729 0.182549 0.135355 0.090028 0.045346 0.019059
0.635452 0.184044 0.136329 0.091446 0.047526 0.020852
0.652174 0.185560 0.137327 0.092786 0.049631 0.022672
0.668896 0.187143 0.138289 0.094122 0.051598 0.024571
0.685619 0.188689 0.139322 0.095350 0.053534 0.026426
0.702341 0.190225 0.140387 0.096519 0.055400 0.028270
0.719064 0.191764 0.141461 0.097659 0.057175 0.030117
0.735786 0.193348 0.142490 0.098837 0.058800 0.032018
0.752508 0.194804 0.143654 0.099855 0.060483 0.033765
0.769231 0.196262 0.144803 0.100882 0.062062 0.035514
0.785953 0.197741 0.145911 0.101949 0.063513 0.037289
0.802676 0.199156 0.147061 0.102962 0.064938 0.038987
0.819398 0.200496 0.148258 0.103918 0.066350 0.040595
0.836120 0.201835 0.149421 0.104905 0.067664 0.042201
0.852843 0.203157 0.150560 0.105910 0.068898 0.043789
0.869565 0.204365 0.151772 0.106827 0.070172 0.045239
0.886288 0.205583 0.152927 0.107793 0.071343 0.046699
0.903010 0.206803 0.154028 0.108802 0.072424 0.048164
0.919732 0.207927 0.155175 0.109748 0.073532 0.049513
0.936455 0.208995 0.156326 0.110671 0.074626 0.050794
0.953177 0.210069 0.157416 0.111639 0.075639 0.052083
0.969900 0.211153 0.158438 0.112654 0.076569 0.053384
0.986622 0.212073 0.159573 0.113527 0.077622 0.054488
1.003344 0.212997 0.160649 0.114436 0.078607 0.055597
1.020067 0.213964 0.161624 0.115421 0.079486 0.056757
1.036789 0.214864 0.162614 0.116361 0.080387 0.057837
1.053512 0.215623 0.163698 0.117171 0.081400 0.058747
1.070234 0.216506 0.164599 0.118138 0.082223 0.059807
1.086957 0.217352 0.165488 0.119084 0.083044 0.060823
1.103679 0.218074 0.166458 0.119909 0.083967 0.061689
1.120401 0.218791 0.167387 0.120742 0.084859 0.062549
1.137124 0.219622 0.168151 0.121712 0.085582 0.063546
1.153846 0.220406 0.168919 0.122640 0.086326 0.064488
1.170569 0.221010 0.169837 0.123374 0.087247 0.065212
1.187291 0.221716 0.170606 0.124226 0.088019 0.066060
1.204013 0.222462 0.171296 0.125125 0.088717 0.066955
1.220736 0.223040 0.172128 0.125838 0.089583 0.067647
1.237458 0.223665 0.172875 0.126604 0.090368 0.068398
1.254181 0.224346 0.173530 0.127430 0.091062 0.069215
1.270903 0.224932 0.174255 0.128149 0.091843 0.069919
1.287625 0.225471 0.174999 0.128812 0.092655 0.070566
1.304348 0.226130 0.175591 0.129603 0.093305 0.071356
1.321070 0.226758 0.176187 0.130355 0.093968 0.072110
1.337793 0.227285 0.176865 0.130991 0.094727 0.072742
1.354515 0.227856 0.177471 0.131670 0.095411 0.073427
1.371237 0.228467 0.178012 0.132388 0.096028 0.074161
1.387960 0.229054 0.178556 0.133073 0.096652 0.074865
1.404682 0.229498 0.179228 0.133596 0.097419 0.075397
1.421405 0.230062 0.179753 0.134246 0.098026 0.076074
1.438127 0.230667 0.180214 0.134936 0.098563 0.076801
1.454849 0.231057 0.180881 0.135384 0.099329 0.077269
1.471572 0.231535 0.181438 0.135924 0.099972 0.077841
1.488294 0.232145 0.181837 0.136606 0.100440 0.078573
1.505017 0.232590 0.182389 0.137104 0.101077 0.079108
1.521739 0.233003 0.182958 0.137562 0.101731 0.079603
1.538462 0.233511 0.183409 0.138122 0.102254 0.080213
1.555184 0.234136 0.183720 0.138808 0.102620 0.080963
1.571906 0.234497 0.184291 0.139201 0.103271 0.081396
1.588629 0.234916 0.184782 0.139657 0.103834 0.081900
1.605351 0.235418 0.185172 0.140201 0.104281 0.082501
1.622074 0.235871 0.185595 0.140691 0.104764 0.083045
1.638796 0.236204 0.186127 0.141049 0.105365 0.083445
1.655518 0.236664 0.186512 0.141544 0.105801 0.083996
1.672241 0.237114 0.186890 0.142029 0.106228 0.084536
1.688963 0.237426 0.187396 0.142362 0.106795 0.084911
1.705686 0.237796 0.187826 0.142760 0.107276 0.085356
1.722408 0.238295 0.188105 0.143299 0.107589 0.085954
1.739130 0.238610 0.188561 0.143636 0.108097 0.086332
1.755853 0.238961 0.188966 0.144012 0.108545 0.086753
1.772575 0.239376 0.189287 0.144461 0.108901 0.087252
1.789298 0.239741 0.189646 0.144854 0.109298 0.087689
1.806020 0.240060 0.190040 0.145197 0.109732 0.088072
1.822742 0.240391 0.190406 0.145555 0.110135 0.088469
1.839465 0.240788 0.190688 0.145986 0.110444 0.088946
1.856187 0.241104 0.191042 0.146328 0.110833 0.089325
